Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Month,Order Year,YearMonth,Month,OrderMonth,CohortMonth,CohortIndex
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,0.4336535418986077,3,0.39669937352076207,-0.0019336452567399963,8,2014,2014-08,8,2014-08-01,2014-08-01,1
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",-0.696469390723956,4,0.39669937352076207,-0.2945229679989556,8,2014,2014-08,8,2014-08-01,2014-08-01,1
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,-0.71578266793275,7,-0.8717537112056045,-0.3733562381719017,12,2016,2016-12,12,2016-12-01,2014-04-01,33
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",-0.4735965414617372,7,-0.8717537112056045,-0.012874796933642586,12,2016,2016-12,12,2016-12-01,2014-04-01,33
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",-0.4082394634962721,2,1.0309259158839452,-0.5795355601626838,7,2017,2017-07,7,2017-07-01,2014-09-01,35
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2.124750161300531,3,-0.8717537112056045,1.8568369411052081,9,2015,2015-09,9,2015-09-01,2014-05-01,17
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,-0.7620634414159093,2,0.39669937352076207,-0.4017503242968331,1,2016,2016-01,1,2016-01-01,2014-07-01,19
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,-0.29450440341822653,3,-0.8717537112056045,-0.14563037662645056,1,2016,2016-01,1,2016-01-01,2014-07-01,19
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2.124750161300531,7,2.299379000610312,-1.8922202427648809,9,2015,2015-09,9,2015-09-01,2014-10-01,12
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,-0.7740898072851891,2,2.299379000610312,-0.7841683337453235,9,2015,2015-09,9,2015-09-01,2014-10-01,12
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",-0.09526958362321276,3,0.39669937352076207,-0.018416595396153056,9,2015,2015-09,9,2015-09-01,2014-10-01,12
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,-0.8117329248878509,2,0.39669937352076207,-0.5075939267558462,9,2015,2015-09,9,2015-09-01,2014-10-01,12
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",-0.3197775446982006,6,0.39669937352076207,-0.21566256539779652,9,2015,2015-09,9,2015-09-01,2014-10-01,12
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-0.7904409254128797,6,2.299379000610312,-0.7387825644519848,9,2015,2015-09,9,2015-09-01,2014-10-01,12
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,-0.7377026451329151,2,0.39669937352076207,-0.4246907923509463,9,2015,2015-09,9,2015-09-01,2014-10-01,12
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,-0.6564683944927358,3,0.39669937352076207,-0.20760423421852786,10,2017,2017-10,10,2017-10-01,2014-08-01,39
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,2.124750161300531,7,0.39669937352076207,1.8568369411052081,12,2016,2016-12,12,2016-12-01,2015-10-01,15
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",0.3000009241592229,5,2.299379000610312,-1.8922202427648809,12,2016,2016-12,12,2016-12-01,2015-10-01,15
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",-0.1596787706827248,9,0.39669937352076207,0.6561634010501978,12,2015,2015-12,12,2015-12-01,2014-05-01,20
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",2.124750161300531,3,1.1577712243565819,-1.8922202427648809,12,2015,2015-12,12,2015-12-01,2014-05-01,20
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",0.4252291614719497,3,1.0309259158839452,-1.0586738930835575,12,2015,2015-12,12,2015-12-01,2014-05-01,20
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,1.3678474242606693,4,0.39669937352076207,0.8712353763877991,12,2015,2015-12,12,2015-12-01,2014-05-01,20
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,0.04080015592635239,4,0.39669937352076207,0.016563887677490285,9,2017,2017-09,9,2017-09-01,2014-02-01,44
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",-0.36968400089663045,2,-0.8717537112056045,-0.41288818607828015,7,2016,2016-07,7,2016-07-01,2014-04-01,28
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",-0.26461029397173114,2,0.39669937352076207,-0.2206684984030997,9,2017,2017-09,9,2017-09-01,2014-10-01,36
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",-0.5586697502710265,2,-0.8717537112056045,0.12560233355858721,3,2016,2016-03,3,2016-03-01,2014-09-01,19
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,-0.7276313042571635,2,-0.8717537112056045,-0.26663761490301846,3,2016,2016-03,3,2016-03-01,2014-09-01,19
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",0.42464857829205355,4,-0.8717537112056045,-0.2574058062035365,10,2014,2014-10,10,2014-10-01,2014-03-01,8
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,-0.564475582069989,3,-0.8717537112056045,-0.37707338083708625,6,2016,2016-06,6,2016-06-01,2014-08-01,23
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",-0.7019197634331862,2,-0.8717537112056045,-0.3379348531397967,6,2016,2016-06,6,2016-06-01,2014-08-01,23
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",-0.604642459209751,6,-0.8717537112056045,0.06428304579714919,4,2015,2015-04,4,2015-04-01,2014-01-01,16
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,-0.3856796599345887,6,-0.8717537112056045,0.6534365920147888,4,2015,2015-04,4,2015-04-01,2014-01-01,16
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,-0.7945760994901001,2,-0.8717537112056045,-0.4446738257298397,4,2015,2015-04,4,2015-04-01,2014-01-01,16
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",-0.2979405079523065,1,-0.8717537112056045,0.034935933131235254,4,2015,2015-04,4,2015-04-01,2014-01-01,16
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,-0.7406648042140185,7,-0.8717537112056045,-0.3327593424581621,12,2016,2016-12,12,2016-12-01,2014-08-01,29
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,2.124750161300531,5,-0.8717537112056045,1.8568369411052081,12,2016,2016-12,12,2016-12-01,2014-08-01,29
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,0.40450589654055047,6,-0.8717537112056045,1.223400728378766,6,2016,2016-06,6,2016-06-01,2016-06-01,1
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,-0.6391219909137944,5,-0.8717537112056045,-0.017500875943963465,6,2016,2016-06,6,2016-06-01,2016-06-01,1
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,1.0612165648211713,5,-0.23752716884242125,-0.30422281108511234,6,2016,2016-06,6,2016-06-01,2016-06-01,1
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",-0.7448118269275632,2,-0.8717537112056045,-0.3079263875361903,6,2016,2016-06,6,2016-06-01,2016-06-01,1
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,-0.6533403545030907,2,-0.8717537112056045,-0.4330340140264517,6,2016,2016-06,6,2016-06-01,2016-06-01,1
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,-0.5438589548655096,4,0.39669937352076207,0.009970707621724988,6,2016,2016-06,6,2016-06-01,2016-06-01,1
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,-0.8211170448567864,1,-0.8717537112056045,-0.5164662307815057,6,2016,2016-06,6,2016-06-01,2016-06-01,1
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",-0.7482479314616431,2,-0.8717537112056045,-0.3363340398752282,11,2015,2015-11,11,2015-11-01,2014-03-01,21
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",-0.6780803071484661,6,0.39669937352076207,-0.22746517167046265,11,2015,2015-11,11,2015-11-01,2014-03-01,21
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,0.03820530457130572,3,-0.8717537112056045,1.793965169716956,11,2015,2015-11,11,2015-11-01,2014-03-01,21
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,-0.35854628275168166,4,-0.8717537112056045,0.21247358558964216,11,2015,2015-11,11,2015-11-01,2014-03-01,21
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",0.4314911657694024,5,1.0309259158839452,-1.0612345159961618,4,2015,2015-04,4,2015-04-01,2014-04-01,13
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",2.124750161300531,8,0.39669937352076207,1.8568369411052081,12,2014,2014-12,12,2014-12-01,2014-01-01,12
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,0.16402597370025312,4,0.39669937352076207,1.5913164549473942,12,2014,2014-12,12,2014-12-01,2014-01-01,12
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",-0.381532637221044,2,-0.8717537112056045,0.6645948031173956,6,2016,2016-06,6,2016-06-01,2014-11-01,20
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,-0.8037232467325472,1,0.39669937352076207,-0.4862474888592483,9,2016,2016-09,9,2016-09-01,2015-10-01,12
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",-0.7182116383792548,3,-0.8717537112056045,-0.2477534448667526,9,2017,2017-09,9,2017-09-01,2014-10-01,36
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,2.124750161300531,8,0.39669937352076207,-1.8922202427648809,4,2015,2015-04,4,2015-04-01,2014-06-01,11
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",-0.25617406490874867,2,0.39669937352076207,-0.5038157361271824,4,2015,2015-04,4,2015-04-01,2014-06-01,11
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,-0.3998743262512361,1,0.39669937352076207,-1.1620823601104517,4,2015,2015-04,4,2015-04-01,2014-06-01,11
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,-0.8236763503028598,3,2.299379000610312,-0.6105614918242787,12,2017,2017-12,12,2017-12-01,2014-12-01,37
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",-0.7735566186505904,3,2.299379000610312,-0.7425064902242225,12,2017,2017-12,12,2017-12-01,2014-12-01,37
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",-0.6696914726307813,3,0.39669937352076207,-0.4525693623398302,12,2017,2017-12,12,2017-12-01,2014-12-01,37
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-0.7167305588387032,5,2.299379000610312,-1.035882653384616,11,2014,2014-11,11,2014-11-01,2014-06-01,6
